# Extracted from
# From  bitsavers.org  bitsavers/components/signetics/_dataBooks/1991_Signetics_Master_Product_Catalog.pdf
PCA8582BT	256 x 8 EEPROM KC BUS
PCB80C31-5	ORDER SC80C31BCYN40 (33MHZ)
PCD3310AP	PULSE TONE DIALLER 3:2 M/S
PCD3310AT	PULSE TONE DIALLER 3:2 M/S
PCD3310P	PULSE TONE DIALLER 2:1 M/S
PCD3311CP	DTMF/MODEM/MUSICAL GENERATOR
PCD3311CT	DTMF/MODEM/MUSICAL GENERATOR
PCD3311P	ORDER PCD3311CPN
PCD3311T	ORDER PCD3311CTD
PCD3312CP	DTMF/MODEM/MUSICAL GENERATOR
PCD3312CT	DTMF/MODEM/MUSICAL GENERATOR
PCD3312P	ORDER PCD3312CPN
PCD3312T	ORDER PCD3312CTD
PCD3315P	PULSE DIALER/CONTROLLER
PCD3341T	LOW V MC 8K, 256B,12C 1/0
PCD3343P	LOW V UC 3K 224B I2C
PCD3343T	LOW V UC 3K 224B I2C
PCD3344P	LOW VOLTAGE UC DTMF 2K 224-BYTE
PCD3344T	LOW VOLTAGE UC DTMF 2K 224-BYTE
PCD3346P	TELEPHONY MICRO WITH EEPROM
PCD3346T	TELEPHONEY MICRO WITH EEPROM
PCD3347T	LOW VOLTAGE UC DTMF 1.5K 64-BYTES
PCD3348P	LOW VOLTAGE UC RC 8K 256-BYTES
PCD3348T	LOW VOLTAGE UC 1°C 8K 256-BYTES
PCD3349	LOW VOLTAGE MC W/I2C DIMF 4K 224-BYTES
PCD3349T	LOW VOLTAGE UC DTMF 4K 128 BYTES
PCD3360P	PROG TONE GENERATOR
PCD3360T	PROG TONE GENERATOR
PCD4420P	DTMF DIALER W/KEYBOARD INTERFACE
PCD4421P	DTMF DIALER W/KEYBOARD INTERFACE
PCD4421T	DTMF DIALLER W/KEYBOARD INTERFACE
PCD8582DP	256 x 8 EEPROM RC-BUS
PCD8582DT	256 x 8 EEPROM RC-BUS
PCD8584P	PARALLEL TO I2C CONVERTER
PCD8584T	PARALLEL TO KC CONVERTER
PCF1252-OP	VOLTAGE DETECTOR 4.75V
PCF1252-0T	VOLTAGE DETECTOR 4.75V
PCF1252-1P	VOLTAGE DETECTOR 4.55V
PCF1252-1T	VOLTAGE DETECTOR 4.55V
PCF1252-2P	VOLTAGE DETECTOR 4.25V
PCF1252-2T	VOLTAGE DETECTOR 4.25V
PCF1252-3P	VOLTAGE DETECTOR 4.05
PCF1252-3T	VOLTAGE DETECTOR 4.05V
PCF1252-4P	VOLTAGE DETECTOR 3.75V
PCF1252-4T	VOLTAGE DETECTOR 3.75V
PCF1252-5P	VOLTAGE DETECTOR 3.55V
PCF1252-5T	VOLTAGE DETECTOR 3.55V
PCF1252-6P	VOLTAGE DETECTOR 3.20V
PCF1252-6T	VOLTAGE DETECTOR 3.20V
PCF1252-7P	VOLTAGE DETECTOR 3.05V
PCF1252-7T	VOLTAGE DETECTOR 3.05V
PCF1252-8P	VOLTAGE DETECTOR 2.75V
PCF1252-8T	VOLTAGE DETECTOR 2.75V
PCF1252-9P	VOLTAGE DETECTOR 2.55V
PCF1252-9T	VOLTAGE DETECTOR 2.55V
PCF1303T	LCD BARGRAPH DRIVER
PCF2100P	LCD DUPLEX DRIVER (40-SEGMENT)
PCF2100T	LCD DUPLEX DRIVER (40-SEGMENT)
PCF2110P	LCD DUPLEX DRIVER W/ LED DRIVE
PCF2110T	LCD DUPLEX DRIVER W/ LED DRIVE
PCF2111P	LCD DUPLEX DRIVER (60-SEGMENT)
PCF2111T	LCD DUPLEX DRIVER (60-SEGMENT)
PCF2112P	32-SEGMENT STATIC LCD DRIVER
PCF2112T	32-SEGMENT STATIC LCD DRIVER
PCF8200P	CMOS SPEECH SYNTHESIZER
PCF84C00B	DEVELOPMENT TOOL FOR 84CXXMICR
PCF84C00T	DEV TOOL FOR PCF84CXX MICR
PCF84C12P	LOW VOLTAGE UC 1K 64B
PCF84C12T	LOW VOLTAGE UC 1K 64B
PCF84C121P	UC 256 × 8RAM 1KROM 8 x 8 EEPROM
PCF84C121T	UC 256 × 8RAM 1KROM 8 × 8 EEPROM
PCF84C21P	LOW VOLTAGE UC 2K 64B 1°C
PCF84C21T	LOW VOLTAGE UC 2K 64B IºC
PCF84C22P	LV UC 2K 64-BYTES
PCF84C22T	LV UC 2K 64-BYTES
PCF84C230Р	UC 64 × 8RAM 2K ROM W/LCD DRIVER
PCF84C230T	UC 64 × 8RAM 2KROM W/LCD DRIVER
PCF84C270P	LV UC 2K 128 BYTES KYBD INTF.
PCF84C41P	LOW V UC 4K 128B 12C
PCF84C41T	LOW V UC 4K 128B 12C
PCF84C42P	MICRO WITH 4K/64 BYTES
PCF84C42T	MICRO WITH 4K/64 BYTES
PCF84C430H	UC W/ IC W/LCD DRIVER
PCF84C633T	UC 256 × 8 RAM 8KROM 16BIT TIMER
PCF84C81P	LOW V UC 8K 256B 12C
PCF84C81T	LOW V UC 8K 256B 12C
PCF84C85P	LOW V UC 8K 256B IRC 32 1/0
PCF84C85T	LOW VUC 8K 256B IRC 32 l/0
PCF84C853P	UC 256 × 8RAM 8KROM 16-BITTIMER
PCF84C853T	UC 256 × 8RAM 8KROM 16-BIT TIMER
PCF8566P	24/48/72/96 SEG LCD DRIVER IC
PCF8566T	24/48/72/96 SEG LCD DRIVER I°C
PCF8570P	256X8 SRAM RC
PCF8570T	256X8 SRAM IC
PCF8571P	128X8 SRAM IRC
PCF8571T	128X8 SRAM IC
PCF8573P	CLOCK CALENDAR RC
PCF8573T	CLOCK CALENDAR RC
PCF8574AP	EXTENDED 1/O EXPANDER RC
PCF8574AT	1/O EXPANDER /°C
PCF8574P	1/O EXPANDER RC
PCF8574T	1/0 EXPANDER RC
PCF8576T	40/80/120/160 SEG DRIVER IºC
PCF8577CP	32/64 SEG DRIVER RC
PCF8577CT	32/64 SEG DRIVER RC
PCF8578T	DOT MATRIX LCD DRIVER (R/COLM)
PCF8579T	DOT MATRIX LCD DRIVER (COLUMN)
PCF8581CP	128 × 8 EEPROM IPC-BUS 8-PIN DIP
PCF8581CT	128 × 8 EEPROM IRC-BUS SO-8L
PCF8581P	128 × 8 EEPROM IRC-BUS 8-PIN DIP
PCF8581T	128 × 8 EEPROM KC-BUS SO-8L
PCF8582CP	256 × 8 EEPROM KC-BUS 8-PIN DIP
PCF8582CT	256 × 8 EEPROM RC-BUS SO-16L
PCF8582EP	256 × 8 EEPROM PC BUS 8-PIN DIP
PCF8582ET	256 × 8 EEPROM KC BUS SO-8
PCF8583P	CLOCK CALENDAR W 256 × 8SRAM |°C
PCF8583T	CLOCK CALENDAR W 256 × 8SRAM 12C
PCF8591P	8-BIT ADC/DAC KC
PCF8591T	8-BIT ADC/DAC RC
PHD16N8-5	20-PIN HIGH SPEED DECODER
PHD48N22-7	68-PIN HIGH SPEED DECODER
PLC18V8ZI	ZERO POWER-40NS IND UNIV PAL
